Group,Type,Website
Arctic Plant Specialist Group,Geographic,<a href=http://cmsdata.iucn.org/downloads/arctic_plant_proofed.pdf>Web link</a>
Brazil Plant Red List Authority,Geographic,<a href=http://cncflora.jbrj.gov.br/portal/pt-br/listavermelha>Web link</a>
"Bryophyte Specialist Group (mosses, liverworts, and hornworts)",Taxonomic,<a href=https://www.slu.se/en/collaborative-centres-and-projects/bryoconservation>Web link</a>
Cactus and Succulent Plant Specialist Group,Taxonomic,<a href=https://www.iucn.org/ssc-groups/plants-fungi/cactus-and-succulent-plants-specialist-group>Web link</a>
Carnivorous Plant Specialist Group,Taxonomic,<a href=http://www.iucn-cpsg.org>Web link</a>
Caucasus Plant Red List Authority,Geographic,<a href=http://cmsdata.iucn.org/downloads/caucasus_plant_rla_proofed.pdf>Web link</a>
Central African Plant Red List Authority,Geographic,<a href= http://cmsdata.iucn.org/downloads/central_africa_plant_rla.pdf>Web link</a>
Chinese Plant Specialist Group,Geographic,<a href=https://www.iucn.org/sites/dev/files/content/documents/2016-2017_china_plant_sg_report.pdf>Web link</a>
Colombian Plant Specialist Group,Geographic,<a href=https://www.iucn.org/sites/dev/files/content/documents/2016-2017_colombian_plant_sg_report.pdf>Web link</a>
Conifer Specialist Group,Taxonomic,<a href=http://threatenedconifers.rbge.org.uk>Web link</a>
Crop Wild Relative Specialist Group,Thematic,<a href=http://www.cwrsg.org/index.asp>Web link</a>
Cuban Plant Specialist Group,Geographic,<a href=http://cmsdata.iucn.org/downloads/cuban_plant_proofed.pdf>Web link</a>
Cycad Specialist Group,Taxonomic,<a href=http://www.cycadgroup.org>Web link</a>
Eastern Africa Plant Red List Authority,Geographic,<a href=http://cmsdata.iucn.org/downloads/east_african_plant_rla_proofed.pdf>Web link</a>
Freshwater Plant Specialist Group,Thematic,<a href=https://www.iucn.org/species/specialist-groups/about/ssc-specialist-groups-and-red-list-authorities-directory/plants-0>Web link</a>
Galapagos Plant Specialist Group,Geographic,<a href=http://cmsdata.iucn.org/downloads/galapagos_plant_proofed.pdf>Web link</a>
Global Trees Specialist Group,Thematic,<a href=http://globaltrees.org/iucn-ssc-global-tree-specialist-group>Web link</a>
Hawaiian Plant Specialist Group,Geographic,"<a href=http://cmsdata.iucn.org/downloads/hawaii_plant_proofed.pdf
>Web link</a>"
Korean Plant Specialist Group,Geographic,<a href=http://ynucc.yeungnam.ac.kr/~llape/kpsg/newslet.html>Web link</a>
Macaronesian Island Plant Specialist Group,Geographic,<a href=http://cmsdata.iucn.org/downloads/macaronesian_island_plants_sg_proofed.pdf>Web link</a>
Madagascar Plant Specialist Group,Geographic,<a href=http://cmsdata.iucn.org/downloads/madagascar_proofed.pdf>Web link</a>
Mangrove Specialist Group,Thematic,<a href=https://www.zsl.org/iucn-ssc-mangrove-specialist-group>Web link</a>
Mascarene Island Plant Specialist Group,Geographic,<a href=http://cmsdata.iucn.org/downloads/mascarene_plant_proofed.pdf>Web link</a>
Medicinal Plant Specialist Group,Thematic,<a href=https://www.iucn.org/ssc-groups/plants-fungi/medicinal-plant-specialist-group>Web link</a>
Mediterranean Plant Specialist Group,Geographic,<a href=http://cmsdata.iucn.org/downloads/mediterranean_island_plant_proofed.pdf>Web link</a>
New Caledonia Plant Red List Authority,Geographic,<a href=http://endemia.nc/en/page/la-liste-rouge>Web link</a>
North American Plant Red List Authority,Geographic,<a href=http://cmsdata.iucn.org/downloads/n_american_plant_rla_proofed.pdf>Web link</a>
Orchid Specialist Group,Taxonomic,<a href=https://www.iucn.org/ssc-groups/orchids-sg/plants-fungi/orchid-specialist-group>Web link</a>
Palm Specialist Group,Taxonomic,<a href=https://www.iucn.org/ssc-groups/plants-fungi/palm-specialist-group>Web link</a>
Seagrass Specialist Group,Taxonomic,<a href=http://www.dugongconservation.org/interview/fred-short/>Web link</a>
Southern African Plant Specialist Group,Geographic,<a href=http://cmsdata.iucn.org/downloads/southern_african_plants_proofed.pdf>Web link</a>
Temperate South American Plant Specialist Group,Geographic,<a href=https://www.iucn.org/sites/dev/files/content/documents/2016-2017_temperate_south_american_plant_sg_report.pdf>Web link</a>
